"title","locality","price","url","image"
"For sale apartment 2+kt 42 m²","Ciolkovského, Praha 6 - Ruzyně","4 790 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-ruzyne-ciolkovskeho/4206007628","https://d18-a.sdn.cz/d_18/c_img_QL_J7/hNgEKX.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+kt 47 m²","Malá Plynární, Praha 7 - Holešovice","4 149 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/praha-holesovice-mala-plynarni/853718092","https://d18-a.sdn.cz/d_18/c_img_QL_J4/Z31BZOU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 74 m²","Římská, Kladno","4 388 800 CZK","https://sreality.cz/en/detail/sale/flat/3+1/kladno-kladno-rimska/1652991308","https://d18-a.sdn.cz/d_18/c_img_QI_Jj/EK1O9R.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 46 m²","U Kasáren, Dašice","3 400 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/dasice-dasice-u-kasaren/1570747724","https://d18-a.sdn.cz/d_18/c_img_QR_ME/uwZh0U.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 64 m²","Žižkova, Jihlava","2 590 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/jihlava-jihlava-zizkova/2398381132","https://d18-a.sdn.cz/d_18/c_img_QN_KB/y1yDEr.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 80 m²","Belikovova, Ostrava - Zábřeh","2 950 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/ostrava-zabreh-belikovova/415208780","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/SrTWPg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 56 m²","Patrice Lumumby, Ostrava - Zábřeh","2 350 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/ostrava-zabreh-patrice-lumumby/956540236","https://d18-a.sdn.cz/d_18/c_img_QI_Ji/9NWBxDF.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 90 m²","sídl. Svornosti, Prostějov - Vrahovice","3 399 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/prostejov-vrahovice-sidl--svornosti/2494805324","https://d18-a.sdn.cz/d_18/c_img_QR_ME/FsVBcSV.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 125 m²","Artura Krause, Pardubice - Zelené Předměstí","4 200 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/pardubice-zelene-predmesti-artura-krause/4208870476","https://d18-a.sdn.cz/d_18/c_img_QR_MD/9H2Bgg2.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 103 m²","Zakšínská, Praha 9 - Střížkov","10 690 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/praha-strizkov-zaksinska/2021291084","https://d18-a.sdn.cz/d_18/c_img_QJ_Jm/kqcGmg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 65 m²","Jizerská, Ústí nad Labem - Severní Terasa","3 300 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/usti-nad-labem-severni-terasa-jizerska/2863465548","https://d18-a.sdn.cz/d_18/c_img_QQ_Ld/xvsBj4Y.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 82 m²","Na Ovčíně, Beroun - Beroun-Závodí","6 397 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/beroun-beroun-zavodi-na-ovcine/556233804","https://d18-a.sdn.cz/d_18/c_img_QK_Jo/ZsOBrIn.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+1 79 m²","U Pivovarské zahrady, Ústí nad Labem - Krásné Březno","2 500 000 CZK","https://sreality.cz/en/detail/sale/flat/4+1/usti-nad-labem-krasne-brezno-u-pivovarske-zahrady/640181324","https://d18-a.sdn.cz/d_18/c_img_QI_Jg/SZXBSrU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 66 m²","Vrchlického, Praha 5 - Košíře","6 500 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/praha-kosire-vrchlickeho/803566668","https://d18-a.sdn.cz/d_18/c_img_QR_MC/jMTBBiN.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+1 68 m²","U Katovny, Litoměřice - Předměstí","3 050 000 CZK","https://sreality.cz/en/detail/sale/flat/4+1/litomerice-predmesti-u-katovny/2236544076","https://d18-a.sdn.cz/d_18/c_img_QR_L6/9y84ch.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 78 m²","Vrážská, Černošice","9 990 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/cernosice-cernosice-vrazska/122623052","https://d18-a.sdn.cz/d_18/c_img_QK_Jk/ddjaWg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 86 m²","Kardausova, Praha 10 - Dolní Měcholupy","10 390 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/praha-dolni-mecholupy-kardausova/78357836","https://d18-a.sdn.cz/d_18/c_img_QQ_Lh/oUFBn96.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
